State_UT,Non_RE_Capacity_MW,RES_excl_Hydro_MW,Large_Hydro_MW,Total_RE_incl_Hydro_MW,Grand_Total_Capacity_MW,RES_Share_Percent,RE_Share_Percent
Andhra Pradesh,17905.34,10504.48,1610.0,12114.48,30019.82,34.99,40.35
Arunachal Pradesh,0.0,155.46,1115.0,1270.46,1270.46,12.24,100.0
Assam,1347.36,232.65,350.0,582.65,1930.01,12.05,30.19
Bihar,9060.0,539.26,0.0,539.26,9599.26,5.62,5.62
Chhattisgarh,23688.0,1708.46,120.0,1828.46,25516.46,6.7,7.17
Goa,48.0,58.43,0.0,58.43,106.43,54.9,54.9
Gujarat,24828.41,31403.03,1990.0,33393.03,58221.44,53.94,57.36
Haryana,5761.59,2449.94,0.0,2449.94,8211.53,29.84,29.84
Himachal Pradesh,0.0,1215.17,10981.01,12196.18,12196.18,9.96,100.0
Jammu & Kashmir,175.0,264.42,3360.0,3624.42,3799.42,6.96,95.39
Jharkhand,5570.0,224.06,210.0,434.06,6004.06,3.73,7.23
Karnataka,10755.25,20228.44,3689.2,23917.64,34672.89,58.34,68.98
Kerala,693.54,1889.23,1964.15,3853.38,4546.92,41.55,84.75
Ladakh,0.0,53.59,89.0,142.59,142.59,37.58,100.0
Madhya Pradesh,22000.0,8592.7,2235.0,10827.7,32827.7,26.18,32.98
Maharashtra,29273.09,19354.46,3047.0,22401.46,51674.55,37.45,43.35
Manipur,36.0,19.24,105.0,124.24,160.24,12.01,77.53
Meghalaya,0.0,73.11,322.0,395.11,395.11,18.5,100.0
Mizoram,0.0,75.86,60.0,135.86,135.86,55.84,100.0
Nagaland,0.0,35.84,75.0,110.84,110.84,32.33,100.0
Odisha,9600.0,804.29,2154.55,2958.84,12558.84,6.4,23.56
Punjab,5680.0,2174.12,1096.3,3270.42,8950.42,24.29,36.54
Rajasthan,12982.83,33725.34,411.0,34136.34,47119.17,71.57,72.45
Sikkim,0.0,62.67,2282.0,2344.67,2344.67,2.67,100.0
Tamil Nadu,17841.38,23063.16,2178.2,25241.36,43082.74,53.53,58.59
Telangana,10242.5,5282.74,2405.6,7688.34,17930.84,29.46,42.88
Tripura,1067.6,37.25,0.0,37.25,1104.85,3.37,3.37
Uttar Pradesh,29968.14,5722.31,501.6,6223.91,36192.05,15.81,17.2
Uttarakhand,664.0,975.42,4035.35,5010.77,5674.77,17.19,88.3
West Bengal,13567.0,770.98,1341.2,2112.18,15679.18,4.92,13.47
Andaman & Nicobar,92.71,35.16,0.0,35.16,127.87,27.5,27.5
Chandigarh,0.0,78.85,0.0,78.85,78.85,100.0,100.0
Dadar & Nagar,0.0,51.87,0.0,51.87,51.87,100.0,100.0
Haveli/Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,2208.4,397.4,0.0,0.0,2605.8,15.25,15.25
Lakshadweep,26.83,4.97,0.0,0.0,31.8,15.63,15.63
Pondicherry,32.5,54.51,0.0,0.0,87.01,62.65,62.65
Others,0.0,49.31,0.0,49.31,49.31,0.0,0.0
Total,255115.46,172368.18,47728.16,220096.3,0.0,0.0,46.32
